indice,g_proba,g_monto,ge,leads,desembolso,marcaciones
27.0,6.0,2.0,2.0,4160.0,1529707.8825,37440.0
27.0,6.0,2.0,3.0,4160.0,1456864.65,29120.0
1.0,1.0,1.0,1.0,2889.0,8039163.0,31779.0
1.0,1.0,1.0,5.0,2889.0,6547948.50826875,11556.0
1.0,1.0,1.0,3.0,2889.0,7255344.6075,20223.0
1.0,1.0,1.0,2.0,2889.0,7637204.85,26001.0
1.0,1.0,1.0,4.0,2889.0,6892577.377125,14445.0
2.0,1.0,2.0,1.0,4314.0,6588703.36,47454.0
2.0,1.0,2.0,5.0,4314.0,5366540.066116,17256.0
2.0,1.0,2.0,3.0,4314.0,5946304.7824,30198.0
2.0,1.0,2.0,2.0,4314.0,6259268.192,38826.0
2.0,1.0,2.0,4.0,4314.0,5648989.54328,21570.0
